Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay
AUDI S6	5.2	10	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV05.2385	midsize car	6	14	19	16	3	no
AUDI S8	5.2	10	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV05.2385	midsize car	6	13	19	15	2	no
AUDI S8	5.2	10	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV05.2385	midsize car	6	13	19	15	2	no
AUDI TT Coupe	2	4	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.03UA	small car	7	21	29	24	7	yes
AUDI TT Coupe	2	4	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.0366	small car	7	23	31	26	7	yes
AUDI TT Coupe	2	4	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV02.03UA	small car	6	21	29	24	7	yes
AUDI TT Coupe	2	4	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9ADXV02.0366	small car	6	23	31	26	7	yes
AUDI TT Coupe	3.2	6	Man-6	4WD	Gasoline	FA	B5	Bin 5	9VWXV03.2535	small car	6	17	25	20	5	no
AUDI TT Coupe	3.2	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9VWXV03.2535	small car	6	18	24	20	5	no
AUDI TT Coupe	3.2	6	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9VWXV03.2535	small car	6	17	25	20	5	no
AUDI TT Coupe	3.2	6	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9VWXV03.2535	small car	6	18	24	20	5	no
AUDI TT Roadster	2	4	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.03UA	small car	7	21	29	24	7	yes
AUDI TT Roadster	2	4	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9ADXV02.0366	small car	7	22	30	25	7	yes
AUDI TT Roadster	2	4	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV02.03UA	small car	6	21	29	24	7	yes
AUDI TT Roadster	2	4	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9ADXV02.0366	small car	6	22	30	25	7	yes
AUDI TT Roadster	3.2	6	Man-6	4WD	Gasoline	FA	B5	Bin 5	9VWXV03.2535	small car	6	17	25	20	5	no
AUDI TT Roadster	3.2	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9VWXV03.2535	small car	6	18	24	20	5	no
AUDI TT Roadster	3.2	6	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9VWXV03.2535	small car	6	17	25	20	5	no
AUDI TT Roadster	3.2	6	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9VWXV03.2535	small car	6	18	24	20	5	no
BENTLEY Arnage	6.7	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BEXV06.7TTC	large car	6	9	15	11	0	no
BENTLEY Arnage	6.7	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BEXV06.7TTC	midsize car	6	10	14	11	0	no
BENTLEY Arnage	6.7	8	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.7TTC	large car	6	9	15	11	0	no
BENTLEY Arnage	6.7	8	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.7TTC	midsize car	6	10	14	11	0	no
BENTLEY Azure	6.7	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BEXV06.7TTC	small car	6	9	15	11	0	no
BENTLEY Azure	6.7	8	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.7TTC	small car	6	9	15	11	0	no
BENTLEY Brooklands	6.7	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9BEXV06.7TTC	small car	6	10	14	11	0	no
BENTLEY Brooklands	6.7	8	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.7TTC	small car	6	10	14	11	0	no
BENTLEY Continental Flying Spur	6	12	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9BEXV06.0501	midsize car	6	10	17	12	0	no
BENTLEY Continental Flying Spur	6	12	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9BEXV06.0501	midsize car	6	10	17	12	0	no
BENTLEY Continental GT	6	12	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9BEXV06.0501	small car	6	10	17	13	0	no
