Model	Displ	Cyl	Trans	Drive	Fuel	Sales Area	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay 
JEEP Wrangler	3.8	6	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT03.82P0	SUV	6	15	19	16	3	no
JEEP Wrangler	3.8	6	Auto-L4	4WD	Gasoline	CA	L2	LEV-II LEV	9CRXT03.82P0	SUV	6	15	19	17	3	no
KIA Amanti	3.8	6	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV03.8HW5	large car	7	17	24	19	4	no
KIA Amanti	3.8	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXV03.8HW5	large car	6	17	24	19	4	no
KIA Borrego	3.8	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXT03.8HM5	SUV	6	17	21	18	4	no
KIA Borrego	3.8	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9KMXT03.8HM5	SUV	6	16	21	18	4	no
KIA Borrego	3.8	6	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9KMXT03.8HM5	SUV	6	17	21	18	4	no
KIA Borrego	3.8	6	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9KMXT03.8HM5	SUV	6	16	21	18	4	no
KIA Borrego	4.6	8	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9KMXT04.6MM5	SUV	6	15	22	18	4	no
KIA Borrego	4.6	8	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9KMXT04.6MM5	SUV	6	15	20	17	3	no
KIA Borrego	4.6	8	Auto-L6	2WD	Gasoline	CA	L2	LEV-II LEV	9KMXT04.6MM5	SUV	6	15	22	18	4	no
KIA Borrego	4.6	8	Auto-L6	4WD	Gasoline	CA	L2	LEV-II LEV	9KMXT04.6MM5	SUV	6	15	20	17	3	no
KIA Optima	2.4	4	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.4MW5	midsize car	7	22	32	25	7	yes
KIA Optima	2.4	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.4MW5	midsize car	7	22	32	25	7	yes
KIA Optima	2.7	6	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.7GW5	midsize car	7	20	28	23	6	yes
KIA Optima	2.4	4	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.4MW5	midsize car	6	22	32	25	7	yes
KIA Optima	2.4	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.4MW5	midsize car	6	22	32	25	7	yes
KIA Optima	2.7	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.7GW5	midsize car	6	20	28	23	6	no
KIA Rio	1.6	4	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV01.6BW5	small car	7	26	35	30	8	yes
KIA Rio	1.6	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV01.6BW5	small car	7	27	33	30	8	yes
KIA Rio	1.6	4	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9KMXV01.6BW5	small car	6	26	35	30	8	yes
KIA Rio	1.6	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9KMXV01.6BW5	small car	6	27	33	30	8	yes
KIA Rondo	2.4	4	Auto-L4	2WD	Gasoline	CA	S2	LEV-II SULEV	9KMXV02.4UPC	station wagon	9.5	20	27	22	6	yes
KIA Rondo	2.4	4	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.4UW5	station wagon	7	20	27	22	6	yes
KIA Rondo	2.7	6	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.7NW5	station wagon	7	18	26	21	5	no
KIA Rondo	2.4	4	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.4UW5	station wagon	6	20	27	22	6	no
KIA Rondo	2.7	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.7NW5	station wagon	6	18	26	21	5	no
KIA Sedona	3.8	6	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXT03.8VW5	minivan	7	16	23	18	4	no
KIA Sedona	3.8	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXT03.8VW5	minivan	6	16	23	18	4	no
KIA Sorento	3.3	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXT03.3BM5	SUV	6	16	22	18	4	no
KIA Sorento	3.3	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9KMXT03.3BM5	SUV	6	15	22	17	3	no
KIA Sorento	3.3	6	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9KMXT03.3BM5	SUV	6	16	22	18	4	no
KIA Sorento	3.3	6	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9KMXT03.3BM5	SUV	6	15	22	17	3	no
KIA Sorento	3.8	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9KMXT03.8LM5	SUV	6	15	21	17	3	no
KIA Sorento	3.8	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9KMXT03.8LM5	SUV	6	15	20	17	3	no
KIA Sorento	3.8	6	Auto-L5	2WD	Gasoline	CA	L2	LEV-II LEV	9KMXT03.8LM5	SUV	6	15	21	17	3	no
KIA Sorento	3.8	6	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9KMXT03.8LM5	SUV	6	15	20	17	3	no
KIA Spectra	2	4	Auto-L4	2WD	Gasoline	CA	S2	LEV-II SULEV	9KMXV02.0LPC	midsize car	9.5	24	32	27	7	yes
KIA Spectra	2	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.0LW5	midsize car	7	23	30	26	7	yes
KIA Spectra	2	4	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXV02.0LW5	midsize car	7	24	32	27	7	yes
KIA Spectra	2	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.0LW5	midsize car	6	23	30	26	7	yes
KIA Spectra	2	4	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9KMXV02.0LW5	midsize car	6	24	32	27	7	yes
KIA Sportage	2	4	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXT02.0KW5	SUV	7	20	25	22	6	yes
KIA Sportage	2	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXT02.0KW5	SUV	7	20	25	22	6	yes
KIA Sportage	2	4	Man-5	4WD	Gasoline	CA	U2	LEV-II ULEV	9KMXT02.0KW5	SUV	7	19	24	21	5	no
KIA Sportage	2.7	6	Auto-L4	2WD	Gasoline	CA	U2	LEV-II ULEV	9KMXT02.7PW5	SUV	7	18	23	20	5	no
KIA Sportage	2.7	6	Auto-L4	4WD	Gasoline	CA	U2	LEV-II ULEV	9KMXT02.7PW5	SUV	7	18	23	20	5	no
KIA Sportage	2	4	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9KMXT02.0KW5	SUV	6	20	25	22	6	no
KIA Sportage	2	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9KMXT02.0KW5	SUV	6	20	25	22	6	no
KIA Sportage	2	4	Man-5	4WD	Gasoline	FA	B5	Bin 5	9KMXT02.0KW5	SUV	6	19	24	21	5	no
KIA Sportage	2.7	6	Auto-L4	2WD	Gasoline	FA	B5	Bin 5	9KMXT02.7PW5	SUV	6	18	23	20	5	no
KIA Sportage	2.7	6	Auto-L4	4WD	Gasoline	FA	B5	Bin 5	9KMXT02.7PW5	SUV	6	18	23	20	5	no
LAMBORGHINI Gallardo Coupe	5.2	10	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV05.2LR8	small car	6	12	20	15	2	no
LAMBORGHINI Gallardo Coupe	5.2	10	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV05.2LR8	small car	6	14	20	16	3	no
LAMBORGHINI Gallardo Spyder	5.2	10	Man-6	4WD	Gasoline	FA	B5	Bin 5	9ADXV05.2LR8	small car	6	12	20	14	1	no
LAMBORGHINI Gallardo Spyder	5.2	10	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9ADXV05.2LR8	small car	6	13	20	16	3	no
LAMBORGHINI Gallardo Spyder	5.2	10	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV05.2LR8	small car	6	12	20	14	1	no
LAMBORGHINI Gallardo Spyder	5.2	10	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9ADXV05.2LR8	small car	6	13	20	16	3	no
LAMBORGHINI Murcielago	6.5	12	Man-6	4WD	Gasoline	FA	B5	Bin 5	9NLXV06.5474	small car	6	8	13	10	0	no
LAMBORGHINI Murcielago	6.5	12	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9NLXV06.5474	small car	6	9	14	11	0	no
LAMBORGHINI Murcielago	6.5	12	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9NLXV06.5474	small car	6	8	13	10	0	no
LAMBORGHINI Murcielago	6.5	12	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9NLXV06.5474	small car	6	9	14	11	0	no
LAMBORGHINI Murcielago Roadster	6.5	12	Man-6	4WD	Gasoline	FA	B5	Bin 5	9NLXV06.5474	small car	6	8	13	10	0	no
LAMBORGHINI Murcielago Roadster	6.5	12	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9NLXV06.5474	small car	6	9	14	11	0	no
LAMBORGHINI Murcielago Roadster	6.5	12	Man-6	4WD	Gasoline	CA	L2	LEV-II LEV	9NLXV06.5474	small car	6	8	13	10	0	no
LAMBORGHINI Murcielago Roadster	6.5	12	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9NLXV06.5474	small car	6	9	14	11	0	no
LAND ROVER LR2	3.2	6	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9LRXT03.2001	SUV	7	15	22	17	3	no
LAND ROVER LR2	3.2	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9LRXT03.2001	SUV	6	15	22	17	3	no
LAND ROVER LR3	4.4	8	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9LRXT04.4001	SUV	7	12	17	14	1	no
LAND ROVER LR3	4.4	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9LRXT04.4001	SUV	6	12	17	14	1	no
LAND ROVER Range Rover	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9LRXT04.2001	SUV	6	12	18	14	1	no
LAND ROVER Range Rover	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9LRXT04.2001	SUV	6	12	18	14	1	no
LAND ROVER Range Rover	4.4	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9LRXT04.2001	SUV	6	12	18	14	1	no
LAND ROVER Range Rover	4.4	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9LRXT04.2001	SUV	6	12	18	14	1	no
LAND ROVER Range Rover Sport	4.4	8	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9LRXT04.4001	SUV	7	12	18	15	2	no
LAND ROVER Range Rover Sport	4.2	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9LRXT04.2001	SUV	6	12	18	14	1	no
LAND ROVER Range Rover Sport	4.2	8	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9LRXT04.2001	SUV	6	12	18	14	1	no
LAND ROVER Range Rover Sport	4.4	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9LRXT04.4001	SUV	6	12	18	15	2	no
LEXUS ES 350	3.5	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV03.5BEA	midsize car	7	19	27	22	6	yes
LEXUS ES 350	3.5	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV03.5BEA	midsize car	6	19	27	22	6	no
LEXUS GS 350	3.5	6	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV03.5BEB	midsize car	7	18	25	20	5	no
LEXUS GS 350	3.5	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV03.5BEB	midsize car	7	19	26	22	6	yes
LEXUS GS 350	3.5	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TYXV03.5BEB	midsize car	6	18	25	20	5	no
LEXUS GS 350	3.5	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV03.5BEB	midsize car	6	19	26	22	6	no
LEXUS GS 450h	3.5	6	Auto-S6	2WD	Gasoline	CA	S2	LEV-II SULEV	9TYXV03.5CC4	small car	9	22	25	23	6	yes
LEXUS GS 450h	3.5	6	Auto-S6	2WD	Gasoline	FA	B3	Bin 3	9TYXV03.5CC4	small car	8	22	25	23	6	yes
LEXUS GS 460	4.6	8	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV04.6BEA	midsize car	7	17	24	20	5	no
LEXUS GS 460	4.6	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV04.6BEA	midsize car	6	17	24	20	5	no
LEXUS GX 470	4.7	8	Auto-L5	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXT04.7BES	SUV	7	14	18	15	2	no
LEXUS GX 470	4.7	8	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9TYXT04.7BES	SUV	6	14	18	15	2	no
LEXUS IS 250	2.5	6	Man-6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV02.5BEA	small car	7	18	26	21	5	no
LEXUS IS 250	2.5	6	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV02.5BEA	small car	7	20	26	22	6	yes
LEXUS IS 250	2.5	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV02.5BEA	small car	7	21	29	24	7	yes
LEXUS IS 250	2.5	6	Man-6	2WD	Gasoline	FA	B5	Bin 5	9TYXV02.5BEA	small car	6	18	26	21	5	no
LEXUS IS 250	2.5	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TYXV02.5BEA	small car	6	20	26	22	6	no
LEXUS IS 250	2.5	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV02.5BEA	small car	6	21	29	24	7	yes
LEXUS IS 350	3.5	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV03.5BEB	small car	7	18	25	20	5	no
LEXUS IS 350	3.5	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV03.5BEB	small car	6	18	25	20	5	no
LEXUS IS F	5	8	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV05.0BEA	small car	7	16	23	18	4	no
LEXUS IS F	5	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV05.0BEA	small car	6	16	23	18	4	no
LEXUS LS 460	4.6	8	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV04.6BEA	midsize car	7	16	23	18	4	no
LEXUS LS 460	4.6	8	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV04.6BEA	midsize car	7	16	24	19	4	no
LEXUS LS 460	4.6	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TYXV04.6BEA	midsize car	6	16	23	18	4	no
LEXUS LS 460	4.6	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV04.6BEA	midsize car	6	16	24	19	4	no
LEXUS LS 460 L	4.6	8	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV04.6BEA	midsize car	7	16	23	18	4	no
LEXUS LS 460 L	4.6	8	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXV04.6BEA	midsize car	7	16	24	19	4	no
LEXUS LS 460 L	4.6	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TYXV04.6BEA	midsize car	6	16	23	18	4	no
LEXUS LS 460 L	4.6	8	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TYXV04.6BEA	midsize car	6	16	24	19	4	no
LEXUS LS 600h L	5	8	Auto-S6	4WD	Gasoline	CA	S2	LEV-II SULEV	9TYXV05.0CC4	midsize car	9	20	22	21	5	no
LEXUS LS 600h L	5	8	Auto-S6	4WD	Gasoline	FA	B3	Bin 3	9TYXV05.0CC4	midsize car	8	20	22	21	5	no
LEXUS LX 570	5.7	8	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXT05.7BEX	SUV	7	12	18	14	1	no
LEXUS LX 570	5.7	8	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TYXT05.7BEX	SUV	6	12	18	14	1	no
LEXUS RX 350	3.5	6	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXT03.5BEM	SUV	7	18	23	20	5	no
LEXUS RX 350	3.5	6	Auto-S5	2WD	Gasoline	CA	U2	LEV-II ULEV	9TYXT03.5BEM	SUV	7	18	23	20	5	no
LEXUS RX 350	3.5	6	Auto-L5	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXT03.5BEM	SUV	7	17	22	19	4	no
LEXUS RX 350	3.5	6	Auto-S5	4WD	Gasoline	CA	U2	LEV-II ULEV	9TYXT03.5BEM	SUV	7	17	22	19	4	no
LEXUS RX 350	3.5	6	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9TYXT03.5BEM	SUV	6	18	23	20	5	no
LEXUS RX 350	3.5	6	Auto-S5	2WD	Gasoline	FA	B5	Bin 5	9TYXT03.5BEM	SUV	6	18	23	20	5	no
LEXUS RX 350	3.5	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9TYXT03.5BEM	SUV	6	17	22	19	4	no
LEXUS RX 350	3.5	6	Auto-S5	4WD	Gasoline	FA	B5	Bin 5	9TYXT03.5BEM	SUV	6	17	22	19	4	no
LEXUS SC 430	4.3	8	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9TYXV04.3AJA	small car	6	16	23	19	4	no
LEXUS SC 430	4.3	8	Auto-S6	2WD	Gasoline	FA	B8	Bin 8	9TYXV04.3AJA	small car	3	16	23	19	4	no
LINCOLN MKS	3.7	6	Auto-L6	4WD	Gasoline	CA	U2	LEV-II ULEV	9FMXV03.7VEL	large car	7	16	23	19	4	no
LINCOLN MKS	3.7	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXV03.7VEL	large car	7	17	24	19	4	no
LINCOLN MKS	3.7	6	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9FMXV03.7VEL	large car	6	16	23	19	4	no
LINCOLN MKS	3.7	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9FMXV03.7VEL	large car	6	17	24	19	4	no
LINCOLN MKX	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT03.52EB	SUV	7	17	24	19	4	no
LINCOLN MKX	3.5	6	Auto-L6	4WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT03.52EB	SUV	7	15	22	18	4	no
LINCOLN MKX	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9FMXT03.52EB	SUV	6	17	24	19	4	no
LINCOLN MKX	3.5	6	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9FMXT03.52EB	SUV	6	15	22	18	4	no
LINCOLN MKZ	3.5	6	Auto-L6	4WD	Gasoline	CA	U2	LEV-II ULEV	9FMXV03.7VEL	midsize car	7	17	24	19	4	no
LINCOLN MKZ	3.5	6	Auto-L6	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXV03.7VEL	midsize car	7	18	28	21	5	no
LINCOLN MKZ	3.5	6	Auto-L6	4WD	Gasoline	FA	B5	Bin 5	9FMXV03.7VEL	midsize car	6	17	24	19	4	no
LINCOLN MKZ	3.5	6	Auto-L6	2WD	Gasoline	FA	B5	Bin 5	9FMXV03.7VEL	midsize car	6	18	28	21	5	no
LINCOLN Navigator FFV	5.4		Auto-L6	4WD	ethanol/gas	FC	B4	Bin 4	9FMXT05.44BC	SUV	7/7	N/A	N/A	N/A	N/A	no
LINCOLN Navigator FFV	5.4		Auto-L6	4WD	ethanol/gas	FA	B5	Bin 5	9FMXT05.44ET	SUV	6/6	N/A	N/A	N/A	N/A	no
LINCOLN Navigator FFV	5.4	8	Auto-L6	2WD	ethanol/gas	FA	B5	Bin 5	9FMXT05.44ET	SUV	6/6	10/14	14/20	11/16	2/3	no
LINCOLN Town Car FFV	4.6	8	Auto-L4	2WD	ethanol/gas	FC	B4	Bin 4	9FMXV04.6VDF	large car	7/7	12/16	17/24	14/19	5/4	yes
LOTUS Elise	1.8	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9LTXV01.8JHB	small car	6	20	26	22	6	no
LOTUS Elise	1.8	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9LTXV01.8JHB	small car	6	21	27	23	6	no
LOTUS Elise	1.8	4	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	9LTXV01.8JHB	small car	6	20	26	22	6	no
LOTUS Elise	1.8	4	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	9LTXV01.8JHB	small car	6	21	27	23	6	no
LOTUS Exige	1.8	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9LTXV01.8JHB	small car	6	20	26	22	6	no
LOTUS Exige	1.8	4	Man-6	2WD	Gasoline	FA	B5	Federal Tier 2 Bin 5	9LTXV01.8JHB	small car	6	21	27	23	6	no
LOTUS Exige	1.8	4	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	9LTXV01.8JHB	small car	6	20	26	22	6	no
LOTUS Exige	1.8	4	Man-6	2WD	Gasoline	CA	L2	California LEV-II LEV	9LTXV01.8JHB	small car	6	21	27	23	6	no
MAZDA 3	2	4	Auto-S4	2WD	Gasoline	CA	S2	LEV-II SULEV	9TKXV02.0NC1	small car	9.5	22	30	25	7	yes
MAZDA 3	2	4	Man-5	2WD	Gasoline	CA	S2	LEV-II SULEV	9TKXV02.0NC1	small car	9.5	24	32	27	7	yes
MAZDA 3	2.3	4	Auto-S5	2WD	Gasoline	CA	S2	LEV-II SULEV	9TKXV02.3NC1	small car	9.5	22	28	24	7	yes
MAZDA 3	2.3	4	Man-5	2WD	Gasoline	CA	S2	LEV-II SULEV	9TKXV02.3NC1	small car	9.5	22	29	25	7	yes
MAZDA 3	2	4	Auto-S4	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35NM	small car	6	22	30	25	7	yes
MAZDA 3	2	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35NM	small car	6	24	32	27	7	yes
MAZDA 3	2.3	4	Auto-S5	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35NM	small car	6	22	28	24	7	yes
MAZDA 3	2.3	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35NM	small car	6	22	29	25	7	yes
MAZDA 5	2.3	4	Auto-S5	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35AB	minivan	6	21	27	23	6	no
MAZDA 5	2.3	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35AB	minivan	6	22	28	24	7	yes
MAZDA 5	2.3	4	Auto-S5	2WD	Gasoline	CA	L2	LEV-II LEV	9TKXV02.35AB	minivan	6	21	27	23	6	no
MAZDA 5	2.3	4	Man-5	2WD	Gasoline	CA	L2	LEV-II LEV	9TKXV02.35AB	minivan	6	22	28	24	7	yes
MAZDA 6	2.5	4	Auto-S5	2WD	Gasoline	CA	S2	LEV-II SULEV	9TKXV02.5NC1	midsize car	9.5	21	30	24	7	yes
MAZDA 6	3.7	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TKXV03.75BA	midsize car	7	17	25	20	5	no
MAZDA 6	2.5	4	Man-6	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.55AA	midsize car	6	20	29	23	6	no
MAZDA 6	2.5	4	Auto-S5	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.55AA	midsize car	6	21	30	24	7	yes
MAZDA 6	2.5	4	Man-6	2WD	Gasoline	CA	L2	LEV-II LEV	9TKXV02.55AA	midsize car	6	20	29	23	6	no
MAZDA 6	2.5	4	Auto-S5	2WD	Gasoline	CA	L2	LEV-II LEV	9TKXV02.55AA	midsize car	6	21	30	24	7	yes
MAZDA 6	3.7	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TKXV03.75BA	midsize car	6	17	25	20	5	no
MAZDA B2300	2.3	4	Auto-L5	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT02.31BA	pickup	7	19	24	21	5	no
MAZDA B2300	2.3	4	Man-5	2WD	Gasoline	CA	U2	LEV-II ULEV	9FMXT02.31BA	pickup	7	21	26	23	6	yes
MAZDA B2300	2.3	4	Auto-L5	2WD	Gasoline	FA	B5	Bin 5	9FMXT02.31EL	pickup	6	19	24	21	5	no
MAZDA B2300	2.3	4	Man-5	2WD	Gasoline	FA	B5	Bin 5	9FMXT02.31EL	pickup	6	21	26	23	6	no
MAZDA B4000	4	6	Auto-L5	4WD	Gasoline	FA	B5	Bin 5	9FMXT04.02EG	pickup	6	14	18	15	2	no
MAZDA B4000	4	6	Man-5	4WD	Gasoline	FA	B5	Bin 5	9FMXT04.02EG	pickup	6	15	19	16	3	no
MAZDA B4000	4	6	Auto-L5	4WD	Gasoline	CA	L2	LEV-II LEV	9FMXT04.02EG	pickup	6	14	18	15	2	no
MAZDA B4000	4	6	Man-5	4WD	Gasoline	CA	L2	LEV-II LEV	9FMXT04.02EG	pickup	6	15	19	16	3	no
MAZDA CX-7	2.3	4	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TKXT02.35AA	SUV	6	17	23	20	5	no
MAZDA CX-7	2.3	4	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TKXT02.35AA	SUV	6	16	22	18	4	no
MAZDA CX-7	2.3	4	Auto-S6	2WD	Gasoline	CA	L2	LEV-II LEV	9TKXT02.35AA	SUV	6	17	23	20	5	no
MAZDA CX-7	2.3	4	Auto-S6	4WD	Gasoline	CA	L2	LEV-II LEV	9TKXT02.35AA	SUV	6	16	22	18	4	no
MAZDA CX-9	3.7	6	Auto-S6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TKXT03.75BB	SUV	7	16	22	18	4	no
MAZDA CX-9	3.7	6	Auto-S6	4WD	Gasoline	CA	U2	LEV-II ULEV	9TKXT03.75BB	SUV	7	15	21	17	3	no
MAZDA CX-9	3.7	6	Auto-S6	2WD	Gasoline	FA	B5	Bin 5	9TKXT03.75BB	SUV	6	16	22	18	4	no
MAZDA CX-9	3.7	6	Auto-S6	4WD	Gasoline	FA	B5	Bin 5	9TKXT03.75BB	SUV	6	15	21	17	3	no
MAZDA Mazdaspeed3	2.3	4	Man-6	2WD	Gasoline	CA	U2	LEV-II ULEV	9TKXV02.3NB1	midsize car	7	18	25	20	5	no
MAZDA Mazdaspeed3	2.3	4	Man-6	2WD	Gasoline	FA	B5	Bin 5	9TKXV02.35NN	midsize car	6	18	25	20	5	no
MAZDA MX-5	2	4	SemiAuto-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	9TKXV02.05BA	small car	7	21	28	23	6	yes
MAZDA MX-5	2	4	Man-6	2WD	Gasoline	CA	U2	California LEV-II ULEV	9TKXV02.05BA	small car	7	21	28	24	7	yes
MAZDA MX-5	2	4	Man-5	2WD	Gasoline	CA	U2	California LEV-II ULEV	9TKXV02.05BA	small car	7	22	28	24	7	yes
