"Model"	"Displ"	"Cyl"	"Trans"	"Drive"	"Fuel"	"Veh.Class"	"Air.Pollution.Score"	"City.MPG"	"Hwy.MPG"	"Cmb.MPG"	"Greenhouse.Gas.Score"	"dataYear"
"NISSAN NV"	4	6	"Auto-5"	"2WD"	"Gasoline"	"van"	1	NA	NA	NA	NA	"12"
"NISSAN NV"	4	6	"Auto-5"	"2WD"	"Gasoline"	"van"	2	NA	NA	NA	NA	"12"
"NISSAN NV"	5.6	8	"Auto-5"	"2WD"	"Gasoline"	"van"	1	NA	NA	NA	NA	"12"
"NISSAN NV"	5.6	8	"Auto-5"	"2WD"	"Gasoline"	"van"	2	NA	NA	NA	NA	"12"
"NISSAN NV Passenger"	4	6	"Auto-5"	"2WD"	"Gasoline"	"van"	1	NA	NA	NA	NA	"12"
"NISSAN NV Passenger"	4	6	"Auto-5"	"2WD"	"Gasoline"	"van"	2	NA	NA	NA	NA	"12"
"NISSAN NV Passenger"	5.6	8	"Auto-5"	"2WD"	"Gasoline"	"van"	1	NA	NA	NA	NA	"12"
"NISSAN NV Passenger"	5.6	8	"Auto-5"	"2WD"	"Gasoline"	"van"	2	NA	NA	NA	NA	"12"
"NISSAN Pathfinder"	4	6	"Auto-5"	"4WD"	"Gasoline"	"SUV"	5	14	20	16	1	"12"
"NISSAN Pathfinder"	4	6	"Auto-5"	"4WD"	"Gasoline"	"SUV"	6	14	20	16	1	"12"
"NISSAN Pathfinder"	4	6	"Auto-5"	"4WD"	"Gasoline"	"SUV"	5	14	20	16	1	"12"
"NISSAN Pathfinder"	4	6	"Auto-5"	"2WD"	"Gasoline"	"SUV"	6	15	22	17	2	"12"
"NISSAN Pathfinder"	4	6	"Auto-5"	"2WD"	"Gasoline"	"SUV"	5	15	22	17	2	"12"
"NISSAN Pathfinder"	5.6	8	"SemiAuto-5"	"4WD"	"Gasoline"	"SUV"	5	13	18	14	1	"12"
